model,pooling,layer,n_points,spearman_rho,spearman_p,r_squared
Qwen2.5-1.5B,mean_pooled,19,19,0.2562527670997995,0.2896176957985011,0.0731036969824242
Qwen2.5-1.5B,mean_pooled,20,19,0.35645302897278314,0.13413957219400333,0.09769187431808823
Qwen2.5-1.5B,mean_pooled,21,19,0.20886355674572699,0.39082039653069295,0.06433086974684976
Qwen2.5-1.5B,mean_pooled,22,19,0.17208077260755048,0.48115710850679005,0.053291495100554455
Qwen2.5-1.5B,mean_pooled,23,19,0.17376043796493254,0.4768207774923695,0.06338849554815505
Qwen2.5-1.5B,mean_pooled,24,19,0.1842913735991709,0.4500829104837319,0.05215001682200536
Qwen2.5-1.5B,mean_pooled,25,19,0.10974539069359086,0.6546958338752649,0.016185417103480034
Qwen2.5-1.5B,mean_pooled,26,19,0.15620887857453528,0.523075117125979,0.029479680784269584
Qwen2.5-1.5B,mean_pooled,27,19,0.11150131694468832,0.6495056709889306,0.017887662908475693
Qwen2.5-1.5B,mean_pooled,28,19,0.40122914837576823,0.08864581349890673,0.19087207001609213
