model,pooling,layer,scope,n_samples,cka
Gemma-2-2B,mean_pooled,2,__all__,22,0.2651651982120186
Gemma-2-2B,mean_pooled,2,authority_influence,12,0.3078853377710722
Gemma-2-2B,mean_pooled,2,mirroring,8,0.33056294369508293
Gemma-2-2B,mean_pooled,3,__all__,22,0.25236139499714033
Gemma-2-2B,mean_pooled,3,authority_influence,12,0.2966836197073072
Gemma-2-2B,mean_pooled,3,mirroring,8,0.31095122726130575
Gemma-2-2B,mean_pooled,4,__all__,22,0.25712286732899925
Gemma-2-2B,mean_pooled,4,authority_influence,12,0.2961178235927129
Gemma-2-2B,mean_pooled,4,mirroring,8,0.3309310079777453
Gemma-2-2B,mean_pooled,5,__all__,22,0.2977330989937287
Gemma-2-2B,mean_pooled,5,authority_influence,12,0.31349827592157153
Gemma-2-2B,mean_pooled,5,mirroring,8,0.37928119219084283
Gemma-2-2B,mean_pooled,6,__all__,22,0.33969588172615295
Gemma-2-2B,mean_pooled,6,authority_influence,12,0.3358434834392386
Gemma-2-2B,mean_pooled,6,mirroring,8,0.4220850686018981
Gemma-2-2B,mean_pooled,7,__all__,22,0.28937248001716437
Gemma-2-2B,mean_pooled,7,authority_influence,12,0.30298300835102476
Gemma-2-2B,mean_pooled,7,mirroring,8,0.38417472189635304
Gemma-2-2B,mean_pooled,8,__all__,22,0.39240390454882534
Gemma-2-2B,mean_pooled,8,authority_influence,12,0.34833691544907475
Gemma-2-2B,mean_pooled,8,mirroring,8,0.49685362711800596
Gemma-2-2B,mean_pooled,9,__all__,22,0.3654539025353704
Gemma-2-2B,mean_pooled,9,authority_influence,12,0.3583224960787713
Gemma-2-2B,mean_pooled,9,mirroring,8,0.47966239592551985
Gemma-2-2B,mean_pooled,10,__all__,22,0.43374983046834664
Gemma-2-2B,mean_pooled,10,authority_influence,12,0.40205733399663546
Gemma-2-2B,mean_pooled,10,mirroring,8,0.4986092959186969
Gemma-2-2B,mean_pooled,11,__all__,22,0.40996151337384185
Gemma-2-2B,mean_pooled,11,authority_influence,12,0.3802704084853988
Gemma-2-2B,mean_pooled,11,mirroring,8,0.43924044486130154
Gemma-2-2B,mean_pooled,12,__all__,22,0.4596306996818372
Gemma-2-2B,mean_pooled,12,authority_influence,12,0.40463862443035786
Gemma-2-2B,mean_pooled,12,mirroring,8,0.47704402699999127
Gemma-2-2B,mean_pooled,13,__all__,22,0.4132679921522513
Gemma-2-2B,mean_pooled,13,authority_influence,12,0.3909374696673956
Gemma-2-2B,mean_pooled,13,mirroring,8,0.44176907358772805
Gemma-2-2B,mean_pooled,14,__all__,22,0.4600083151632698
Gemma-2-2B,mean_pooled,14,authority_influence,12,0.41703096267241035
Gemma-2-2B,mean_pooled,14,mirroring,8,0.4649543880613791
