model,behaviour,domain,language,pair_id,condition,turn_index,pooling,layer,cosine_similarity,cosine_distance,neutral_variant,syco_p_correct,neutral_p_correct,confidence_shift,syco_logit_preference_shift,neutral_logit_preference_shift,logit_preference_shift_delta
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,last_token,24,0.8564277955515422,0.14357220444845775,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,last_token,25,0.8458563747828355,0.15414362521716451,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,last_token,26,0.8849394448273525,0.11506055517264746,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,last_token,27,0.9186279114095962,0.08137208859040379,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,last_token,28,0.8671303923509948,0.13286960764900524,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,0,0.7372773037429602,0.2627226962570398,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,1,0.9129774674001625,0.0870225325998375,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,2,0.947049759922124,0.052950240077875965,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,3,0.9413951583770085,0.05860484162299151,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,4,0.9370827578494902,0.06291724215050976,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,5,0.9236297277636496,0.0763702722363504,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,6,0.9351807594265337,0.06481924057346633,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,7,0.9402905787983142,0.059709421201685764,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,8,0.9335101347174463,0.06648986528255374,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,9,0.9255782246435807,0.07442177535641925,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,10,0.9187168375949515,0.08128316240504851,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,11,0.921437487321555,0.07856251267844505,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,12,0.9299369706716454,0.07006302932835462,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,13,0.9329805205398788,0.06701947946012121,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,14,0.9375216808822869,0.062478319117713066,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,15,0.9363217069405062,0.0636782930594938,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,16,0.9392504704504521,0.06074952954954793,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,17,0.9358578304326112,0.06414216956738883,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,18,0.9231935148481129,0.07680648515188715,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,19,0.9245253204042203,0.07547467959577969,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,20,0.9225234923072605,0.0774765076927395,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,21,0.9244116835938717,0.07558831640612829,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
Qwen2.5-1.5B,agreement_bias,general_knowledge,en,AGS-F001,main,0,mean_pooled,22,0.9404532551608845,0.059546744839115484,neutral,0.3314755056236131,0.0533732701858957,0.2781022354377174,8.0625,9.3125,-1.25
