model,pooling,layer,behaviour_a,behaviour_b,cosine,n_pairs_a,n_pairs_b,low_n
Gemma-2-2B,last_token,20,delusion_acceptance,mirroring,0.4727029981390986,2,8,True
Gemma-2-2B,last_token,21,authority_influence,delusion_acceptance,0.06986360030726364,12,2,True
Gemma-2-2B,last_token,21,authority_influence,mirroring,-0.00036962337140905295,12,8,False
Gemma-2-2B,last_token,21,delusion_acceptance,mirroring,0.49309607864419275,2,8,True
Gemma-2-2B,last_token,22,authority_influence,delusion_acceptance,0.0736351193498294,12,2,True
Gemma-2-2B,last_token,22,authority_influence,mirroring,-0.03719015631112333,12,8,False
Gemma-2-2B,last_token,22,delusion_acceptance,mirroring,0.4747965871257991,2,8,True
Gemma-2-2B,last_token,23,authority_influence,delusion_acceptance,0.07246148069110192,12,2,True
Gemma-2-2B,last_token,23,authority_influence,mirroring,-0.05640704270976284,12,8,False
Gemma-2-2B,last_token,23,delusion_acceptance,mirroring,0.4452795277869257,2,8,True
Gemma-2-2B,last_token,24,authority_influence,delusion_acceptance,0.04878080476528769,12,2,True
Gemma-2-2B,last_token,24,authority_influence,mirroring,-0.06418998833869446,12,8,False
Gemma-2-2B,last_token,24,delusion_acceptance,mirroring,0.5148861792537894,2,8,True
Gemma-2-2B,last_token,25,authority_influence,delusion_acceptance,0.030222699437886913,12,2,True
Gemma-2-2B,last_token,25,authority_influence,mirroring,-0.0606041821844634,12,8,False
Gemma-2-2B,last_token,25,delusion_acceptance,mirroring,0.4853153423857062,2,8,True
Gemma-2-2B,last_token,26,authority_influence,delusion_acceptance,0.07490938030426376,12,2,True
Gemma-2-2B,last_token,26,authority_influence,mirroring,-0.025237766544027675,12,8,False
Gemma-2-2B,last_token,26,delusion_acceptance,mirroring,0.4280696182255483,2,8,True
Gemma-2-2B,mean_pooled,0,authority_influence,delusion_acceptance,0.011394243211172795,12,2,True
Gemma-2-2B,mean_pooled,0,authority_influence,mirroring,-0.11956627305835542,12,8,False
Gemma-2-2B,mean_pooled,0,delusion_acceptance,mirroring,-0.03765950778077369,2,8,True
Gemma-2-2B,mean_pooled,1,authority_influence,delusion_acceptance,-0.02158217677966903,12,2,True
Gemma-2-2B,mean_pooled,1,authority_influence,mirroring,-0.11298205843697932,12,8,False
Gemma-2-2B,mean_pooled,1,delusion_acceptance,mirroring,-0.012850724963350574,2,8,True
Gemma-2-2B,mean_pooled,2,authority_influence,delusion_acceptance,-0.03230274572035396,12,2,True
Gemma-2-2B,mean_pooled,2,authority_influence,mirroring,-0.17085030223031142,12,8,False
Gemma-2-2B,mean_pooled,2,delusion_acceptance,mirroring,0.018796426032504043,2,8,True
Gemma-2-2B,mean_pooled,3,authority_influence,delusion_acceptance,-0.02184710047433081,12,2,True
Gemma-2-2B,mean_pooled,3,authority_influence,mirroring,-0.14457749017034516,12,8,False
Gemma-2-2B,mean_pooled,3,delusion_acceptance,mirroring,0.019908222025916893,2,8,True
Gemma-2-2B,mean_pooled,4,authority_influence,delusion_acceptance,0.001319944061471934,12,2,True
Gemma-2-2B,mean_pooled,4,authority_influence,mirroring,-0.15048310076332275,12,8,False
Gemma-2-2B,mean_pooled,4,delusion_acceptance,mirroring,0.004255755119433164,2,8,True
Gemma-2-2B,mean_pooled,5,authority_influence,delusion_acceptance,-0.010740681460363524,12,2,True
Gemma-2-2B,mean_pooled,5,authority_influence,mirroring,-0.13816798825383783,12,8,False
Gemma-2-2B,mean_pooled,5,delusion_acceptance,mirroring,0.041143700667916366,2,8,True
Gemma-2-2B,mean_pooled,6,authority_influence,delusion_acceptance,0.03291340838728472,12,2,True
Gemma-2-2B,mean_pooled,6,authority_influence,mirroring,-0.14990579521609002,12,8,False
Gemma-2-2B,mean_pooled,6,delusion_acceptance,mirroring,0.07905744950238486,2,8,True
Gemma-2-2B,mean_pooled,7,authority_influence,delusion_acceptance,-0.0053535599959843696,12,2,True
Gemma-2-2B,mean_pooled,7,authority_influence,mirroring,-0.22864536789947915,12,8,False
Gemma-2-2B,mean_pooled,7,delusion_acceptance,mirroring,0.12468765440118734,2,8,True
Gemma-2-2B,mean_pooled,8,authority_influence,delusion_acceptance,0.011638818265509075,12,2,True
Gemma-2-2B,mean_pooled,8,authority_influence,mirroring,-0.19883461328106303,12,8,False
Gemma-2-2B,mean_pooled,8,delusion_acceptance,mirroring,0.15079191420488494,2,8,True
Gemma-2-2B,mean_pooled,9,authority_influence,delusion_acceptance,0.05445800213796479,12,2,True
Gemma-2-2B,mean_pooled,9,authority_influence,mirroring,-0.28103216465996583,12,8,False
Gemma-2-2B,mean_pooled,9,delusion_acceptance,mirroring,0.07720104711807269,2,8,True
Gemma-2-2B,mean_pooled,10,authority_influence,delusion_acceptance,0.038122850649610344,12,2,True
Gemma-2-2B,mean_pooled,10,authority_influence,mirroring,-0.14112777024059175,12,8,False
Gemma-2-2B,mean_pooled,10,delusion_acceptance,mirroring,0.12808966908321798,2,8,True
Gemma-2-2B,mean_pooled,11,authority_influence,delusion_acceptance,0.07879960458614099,12,2,True
Gemma-2-2B,mean_pooled,11,authority_influence,mirroring,-0.1345670189162886,12,8,False
Gemma-2-2B,mean_pooled,11,delusion_acceptance,mirroring,0.1626555518218136,2,8,True
Gemma-2-2B,mean_pooled,12,authority_influence,delusion_acceptance,0.1269025781643135,12,2,True
Gemma-2-2B,mean_pooled,12,authority_influence,mirroring,-0.01552967577348258,12,8,False
Gemma-2-2B,mean_pooled,12,delusion_acceptance,mirroring,0.15236617592867052,2,8,True
Gemma-2-2B,mean_pooled,13,authority_influence,delusion_acceptance,0.07929913037217848,12,2,True
Gemma-2-2B,mean_pooled,13,authority_influence,mirroring,-0.15209080835286798,12,8,False
Gemma-2-2B,mean_pooled,13,delusion_acceptance,mirroring,0.14093557827635755,2,8,True
Gemma-2-2B,mean_pooled,14,authority_influence,delusion_acceptance,0.070942952576258,12,2,True
Gemma-2-2B,mean_pooled,14,authority_influence,mirroring,-0.13201696580129,12,8,False
Gemma-2-2B,mean_pooled,14,delusion_acceptance,mirroring,0.18633945572167443,2,8,True
Gemma-2-2B,mean_pooled,15,authority_influence,delusion_acceptance,0.09630103012102957,12,2,True
