model,behaviour,domain,language,pooling,layer,mean_cosine_distance,mean_cosine_similarity,n_pairs
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,18,0.12939708100507313,0.8706029189949269,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,19,0.1276875909822558,0.8723124090177442,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,20,0.13216382874770488,0.8678361712522951,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,21,0.14329006102644226,0.8567099389735577,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,22,0.11834322141065395,0.8816567785893461,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,23,0.11437530912560184,0.8856246908743981,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,24,0.09433884206540855,0.9056611579345915,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,25,0.07541565847082438,0.9245843415291757,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,26,0.06625976000348466,0.9337402399965153,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,27,0.0434782673960013,0.9565217326039988,2
Qwen2.5-1.5B,agreement_bias,education_general_knowledge,en,mean_pooled,28,0.13189490957201333,0.8681050904279867,2
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,0,0.0,1.0,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,1,0.0003731765470147419,0.9996268234529853,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,2,0.0014996668245134126,0.9985003331754866,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,3,0.004162444210342953,0.995837555789657,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,4,0.00996174377593062,0.9900382562240694,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,5,0.03443205416512829,0.9655679458348717,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,6,0.03641784792562974,0.9635821520743703,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,7,0.034212038524874866,0.9657879614751251,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,8,0.03187503021597826,0.9681249697840217,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,9,0.02777944308376612,0.9722205569162339,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,10,0.028777946564075063,0.9712220534359249,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,11,0.02681440002403368,0.9731855999759663,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,12,0.02003928492499507,0.9799607150750049,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,13,0.01838472888578757,0.9816152711142124,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,14,0.019591378185840336,0.9804086218141597,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,15,0.01730078755248321,0.9826992124475168,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,16,0.024084761485862027,0.975915238514138,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,17,0.025540820874755843,0.9744591791252442,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,18,0.028907350225000794,0.9710926497749992,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,19,0.033799559061790996,0.966200440938209,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,20,0.03676268402735072,0.9632373159726493,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,21,0.058204736764814524,0.9417952632351855,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,22,0.055937993340988146,0.9440620066590119,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,23,0.06155359455755849,0.9384464054424415,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,24,0.0552822782502419,0.9447177217497581,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,25,0.053640671905578086,0.9463593280944219,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,26,0.042783387677157836,0.9572166123228422,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,27,0.03598260172318768,0.9640173982768123,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,last_token,28,0.0633808804368895,0.9366191195631105,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,0,0.3595212389019413,0.6404787610980587,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,1,0.14396443042096485,0.8560355695790351,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,2,0.08315154444297934,0.9168484555570207,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,3,0.09746998327409206,0.9025300167259079,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,4,0.08825629452007622,0.9117437054799238,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,5,0.09055402921812916,0.9094459707818708,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,6,0.06955851619991149,0.9304414838000885,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,7,0.06599849509510347,0.9340015049048965,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,8,0.06278252142281138,0.9372174785771886,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,9,0.07890744648893555,0.9210925535110644,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,10,0.09395560764210897,0.906044392357891,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,11,0.08570403825975559,0.9142959617402444,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,12,0.07319872548216055,0.9268012745178394,1
Qwen2.5-1.5B,attribution_bias,education_general_knowledge,en,mean_pooled,13,0.06788306869819116,0.9321169313018088,1
