model,pair_id,domain,language,pooling,layer,turn_index,step_cosine_similarity,step_cosine_distance,cumulative_drift,cosine_distance_from_neutral
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,13,2,0.9827505340477366,0.0172494659522634,0.07117849679231114,0.0686681550514201
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,14,0,,,0.0,2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,14,1,0.9125810533338666,0.08741894666613337,0.08741894666613337,0.0874189466661333
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,14,2,0.9730611813538188,0.026938818646181195,0.11435776531231456,0.1002799703272961
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,15,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,15,1,0.9288612218181641,0.0711387781818359,0.0711387781818359,0.0711387781818359
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,15,2,0.9778826679165308,0.02211733208346922,0.09325611026530511,0.0802123715977304
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,16,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,16,1,0.8955136694669972,0.10448633053300282,0.10448633053300282,0.1044863305330028
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,16,2,0.9714353009290949,0.028564699070905086,0.1330510296039079,0.1033237605557875
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,17,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,17,1,0.8635064918335552,0.1364935081664448,0.1364935081664448,0.1364935081664448
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,17,2,0.9672337260006266,0.032766273999373374,0.16925978216581816,0.1122618828979061
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,18,0,,,0.0,1.1102230246251563e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,18,1,0.8444692525637889,0.1555307474362111,0.1555307474362111,0.1555307474362111
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,18,2,0.9606136498583422,0.03938635014165781,0.1949170975778689,0.1154574881829059
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,19,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,19,1,0.8288048794725215,0.17119512052747854,0.17119512052747854,0.1711951205274785
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,19,2,0.9597442330702488,0.04025576692975119,0.21145088745722973,0.131893928209698
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,20,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,20,1,0.8329984533298068,0.16700154667019318,0.16700154667019318,0.1670015466701931
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,20,2,0.9619158662657723,0.0380841337342277,0.20508568040442088,0.1364462617491083
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,21,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,21,1,0.7456199247071302,0.25438007529286977,0.25438007529286977,0.2543800752928697
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,21,2,0.9465247125889522,0.05347528741104779,0.30785536270391756,0.1884468523327722
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,22,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,22,1,0.7270372263139281,0.2729627736860719,0.2729627736860719,0.2729627736860719
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,22,2,0.9444034132135691,0.05559658678643087,0.3285593604725028,0.1881580786853102
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,23,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,23,1,0.6700759657112191,0.3299240342887809,0.3299240342887809,0.3299240342887809
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,23,2,0.935924966589205,0.06407503341079501,0.39399906769957593,0.2076517733476924
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,24,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,24,1,0.6883070837942918,0.31169291620570816,0.31169291620570816,0.3116929162057081
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,24,2,0.9326446986228709,0.06735530137712908,0.37904821758283724,0.18256909567151
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,25,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,25,1,0.7010851816360916,0.29891481836390843,0.29891481836390843,0.2989148183639084
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,25,2,0.9334349520806102,0.06656504791938977,0.3654798662832982,0.1789722244025468
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,26,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,26,1,0.7735936172638743,0.22640638273612568,0.22640638273612568,0.2264063827361256
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,26,2,0.9483495746135369,0.05165042538646314,0.2780568081225888,0.1346221434055801
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,27,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,27,1,0.8490125877187215,0.15098741228127854,0.15098741228127854,0.1509874122812785
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,27,2,0.964581046130008,0.035418953869992054,0.1864063661512706,0.0932168729221384
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,28,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,28,1,0.7961255286421585,0.20387447135784154,0.20387447135784154,0.2038744713578415
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,last_token,28,2,0.943862537211331,0.056137462788669046,0.2600119341465106,0.1254905437848269
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,0,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,0,1,0.7093391544927471,0.2906608455072529,0.2906608455072529,0.2906608455072529
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,0,2,0.7130089015679886,0.2869910984320114,0.5776519439392643,0.3069988945212661
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,1,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,1,1,0.842361113462995,0.15763888653700497,0.15763888653700497,0.1576388865370049
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,1,2,0.9057912140137148,0.09420878598628524,0.2518476725232902,0.1350948212762224
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,2,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,2,1,0.9153082115380063,0.08469178846199366,0.08469178846199366,0.0846917884619936
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,2,2,0.9431433532630897,0.056856646736910266,0.14154843519890392,0.0737414918392151
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,3,0,,,0.0,-2.220446049250313e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,3,1,0.9098601652724431,0.09013983472755693,0.09013983472755693,0.0901398347275569
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,3,2,0.9332178215189476,0.06678217848105239,0.15692201320860932,0.0808071516146907
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,4,0,,,0.0,1.1102230246251563e-16
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,4,1,0.9094404981891135,0.09055950181088646,0.09055950181088646,0.0905595018108864
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,4,2,0.9369632716899322,0.06303672831006779,0.15359623012095425,0.0784771915536135
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,5,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,5,1,0.9044307054472434,0.09556929455275665,0.09556929455275665,0.0955692945527566
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,5,2,0.9315582811001414,0.06844171889985862,0.16401101345261526,0.0785097158408028
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,6,0,,,0.0,0.0
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,6,1,0.915978248503575,0.08402175149642499,0.08402175149642499,0.0840217514964249
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,6,2,0.9398750816709146,0.0601249183290854,0.1441466698255104,0.0704830688289913
Qwen2.5-1.5B,RPS-F001,education_general_knowledge,en,mean_pooled,7,0,,,0.0,-2.220446049250313e-16
