model,behaviour,pooling,layer,n_pairs,direction_norm
Qwen2.5-1.5B,revision_under_pressure,last_token,27,6,77.78135697305686
Qwen2.5-1.5B,revision_under_pressure,last_token,28,6,59.502584227491155
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,0,6,0.08378728433424262
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,1,6,2.408578858714905
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,2,6,3.077199436535272
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,3,6,3.8659870189097516
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,4,6,4.700042130825057
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,5,6,5.367689849732283
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,6,6,5.3035503783119315
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,7,6,5.712266056911329
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,8,6,6.089548419381571
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,9,6,6.590926458242443
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,10,6,7.4895248308237266
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,11,6,7.64686584679008
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,12,6,7.743066683909293
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,13,6,7.586723064758054
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,14,6,8.183801989198617
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,15,6,8.388901402066436
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,16,6,9.233160176307589
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,17,6,9.704135622343808
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,18,6,10.729644797145372
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,19,6,11.56484463517122
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,20,6,13.027217346828584
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,21,6,14.37310796980777
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,22,6,16.9395897736864
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,23,6,19.323418616765117
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,24,6,21.88979142922757
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,25,6,24.222823449891717
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,26,6,26.627710791834925
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,27,6,28.823147380848084
Qwen2.5-1.5B,revision_under_pressure,mean_pooled,28,6,30.895516941175575
