model,behaviour,pooling,layer,n_pairs,direction_norm
Qwen2.5-1.5B,agreement_bias,last_token,21,2,39.22120234754363
Qwen2.5-1.5B,agreement_bias,last_token,22,2,50.006633832803715
Qwen2.5-1.5B,agreement_bias,last_token,23,2,57.88285791295967
Qwen2.5-1.5B,agreement_bias,last_token,24,2,62.74616292840992
Qwen2.5-1.5B,agreement_bias,last_token,25,2,72.55569857658078
Qwen2.5-1.5B,agreement_bias,last_token,26,2,76.8633890174752
Qwen2.5-1.5B,agreement_bias,last_token,27,2,85.71765401010114
Qwen2.5-1.5B,agreement_bias,last_token,28,2,70.64891764050583
Qwen2.5-1.5B,agreement_bias,mean_pooled,0,2,0.12774900002689063
Qwen2.5-1.5B,agreement_bias,mean_pooled,1,2,3.8520635131396292
Qwen2.5-1.5B,agreement_bias,mean_pooled,2,2,4.745870975606226
Qwen2.5-1.5B,agreement_bias,mean_pooled,3,2,6.038600730551021
Qwen2.5-1.5B,agreement_bias,mean_pooled,4,2,7.43404672148716
Qwen2.5-1.5B,agreement_bias,mean_pooled,5,2,8.454454293774496
Qwen2.5-1.5B,agreement_bias,mean_pooled,6,2,8.318069423764248
Qwen2.5-1.5B,agreement_bias,mean_pooled,7,2,8.707210656427964
Qwen2.5-1.5B,agreement_bias,mean_pooled,8,2,9.348542420403986
Qwen2.5-1.5B,agreement_bias,mean_pooled,9,2,10.1099863395743
Qwen2.5-1.5B,agreement_bias,mean_pooled,10,2,11.235509998902398
Qwen2.5-1.5B,agreement_bias,mean_pooled,11,2,11.797118419503803
Qwen2.5-1.5B,agreement_bias,mean_pooled,12,2,11.854376460753798
Qwen2.5-1.5B,agreement_bias,mean_pooled,13,2,12.002893847492514
Qwen2.5-1.5B,agreement_bias,mean_pooled,14,2,12.676879052854266
Qwen2.5-1.5B,agreement_bias,mean_pooled,15,2,12.801285889075208
Qwen2.5-1.5B,agreement_bias,mean_pooled,16,2,14.065482082922653
Qwen2.5-1.5B,agreement_bias,mean_pooled,17,2,15.427044668091026
Qwen2.5-1.5B,agreement_bias,mean_pooled,18,2,17.38080712240622
Qwen2.5-1.5B,agreement_bias,mean_pooled,19,2,19.070894820855383
Qwen2.5-1.5B,agreement_bias,mean_pooled,20,2,21.70135967712968
Qwen2.5-1.5B,agreement_bias,mean_pooled,21,2,25.43127328702221
Qwen2.5-1.5B,agreement_bias,mean_pooled,22,2,30.61238912429522
